Bank Name,City,State,CERT #,Acquiring Institution,Closing Date,Updated Date
SCB Bank,Shelbyville,IN,29761,"First Merchants Bank, National Association",10-Feb-12,13-Feb-12
Charter National Bank and Trust ,Hoffman Estates,IL,23187,"Barrington Bank & Trust Company, National Association",10-Feb-12,13-Feb-12
BankEast,Knoxville,TN,19869,U.S.Bank National Association,27-Jan-12,31-Jan-12
Patriot Bank Minnesota,Forest Lake,MN,34823,First Resource Bank,27-Jan-12,31-Jan-12
Tennessee Commerce Bank ,Franklin,TN,35296,Republic Bank & Trust Company,27-Jan-12,31-Jan-12
First Guaranty Bank and Trust Company of Jacksonville,Jacksonville,FL,16579,"CenterState Bank of Florida, N.A.",27-Jan-12,15-Feb-12
American Eagle Savings Bank,Boothwyn,PA,31581,"Capital Bank, N.A.",20-Jan-12,27-Jan-12
The First State Bank,Stockbridge,GA,19252,Hamilton State Bank,20-Jan-12,27-Jan-12
Central Florida State Bank,Belleview,FL,57186,"CenterState Bank of Florida, N.A.",20-Jan-12,27-Jan-12
Western National Bank,Phoenix,AZ,57917,Washington Federal,16-Dec-11,10-Feb-12
Premier Community Bank of the Emerald Coast,Crestview,FL,58343,Summit Bank,16-Dec-11,10-Feb-12
Central Progressive Bank,Lacombe,LA,19657,First NBC Bank,18-Nov-11,10-Feb-12
Polk County Bank,Johnston,IA,14194,Grinnell State Bank,18-Nov-11,10-Feb-12
Community Bank of Rockmart,Rockmart,GA,57860,Century Bank of Georgia,10-Nov-11,10-Feb-12
SunFirst Bank,Saint George,UT,57087,Cache Valley Bank,4-Nov-11,10-Feb-12
"Mid City Bank, Inc.",Omaha,NE,19397,Premier Bank,4-Nov-11,10-Feb-12
All American Bank,Des Plaines,IL,57759,International Bank of Chicago,28-Oct-11,10-Feb-12
Community Banks of Colorado,Greenwood Village,CO,21132,"Bank Midwest, N.A.",21-Oct-11,10-Feb-12
Community Capital Bank,Jonesboro,GA,57036,State Bank and Trust Company,21-Oct-11,10-Feb-12
Decatur First Bank,Decatur,GA,34392,Fidelity Bank,21-Oct-11,10-Feb-12
Old Harbor Bank,Clearwater,FL,57537,1st United Bank,21-Oct-11,10-Feb-12
Country Bank,Aledo,IL,35395,Blackhawk Bank & Trust,14-Oct-11,10-Feb-12
First State Bank,Cranford,NJ,58046,Northfield Bank,14-Oct-11,10-Feb-12
"Blue Ridge Savings Bank, Inc. ",Asheville,NC,32347,Bank of North Carolina,14-Oct-11,10-Feb-12
Piedmont Community Bank,Gray,GA,57256,State Bank and Trust Company,14-Oct-11,10-Feb-12
Sun Security Bank,Ellington,MO,20115,Great Southern Bank,7-Oct-11,10-Feb-12
The RiverBank,Wyoming,MN,10216,Central Bank,7-Oct-11,10-Feb-12
First International Bank,Plano,TX,33513,American First National Bank,30-Sep-11,10-Feb-12
Citizens Bank of Northern California,Nevada City,CA,33983,Tri Counties Bank,23-Sep-11,10-Feb-12
Bank of the Commonwealth,Norfolk,VA,20408,Southern Bank and Trust Company,23-Sep-11,10-Feb-12
First National Bank of Florida,Milton,FL,25155,CharterBank,9-Sep-11,10-Feb-12
CreekSide Bank,Woodstock,GA,58226,Georgia Commerce Bank,2-Sep-11,10-Feb-12
Patriot Bank of Georgia,Cumming,GA,58273,Georgia Commerce Bank,2-Sep-11,10-Feb-12
First Choice Bank ,Geneva,IL,57212,Inland Bank & Trust,19-Aug-11,10-Feb-12
First Southern National Bank ,Statesboro,GA,57239,Heritage Bank of the South,19-Aug-11,10-Feb-12
Lydian Private Bank ,Palm Beach,FL,35356,"Sabadell United Bank, N.A.",19-Aug-11,10-Feb-12
Public Savings Bank ,Huntingdon Valley,PA,34130,"Capital Bank, N.A.",18-Aug-11,10-Feb-12
The First National Bank of Olathe ,Olathe,KS,4744,Enterprise Bank & Trust,12-Aug-11,10-Feb-12
Bank of Whitman ,Colfax,WA,22528,Columbia State Bank,5-Aug-11,10-Feb-12
Bank of Shorewood ,Shorewood,IL,22637,Heartland Bank and Trust Company,5-Aug-11,10-Feb-12
Integra Bank National Association ,Evansville,IN,4392,Old National Bank,29-Jul-11,10-Feb-12
"BankMeridian, N.A.",Columbia,SC,58222,SCBT National Association,29-Jul-11,10-Feb-12
Virginia Business Bank,Richmond,VA,58283,Xenith Bank,29-Jul-11,10-Feb-12
Bank of Choice,Greeley,CO,2994,"Bank Midwest, N.A.",22-Jul-11,10-Feb-12
LandMark Bank of Florida,Sarasota,FL,35244,American Momentum Bank,22-Jul-11,10-Feb-12
Southshore Community Bank,Apollo Beach,FL,58056,American Momentum Bank,22-Jul-11,10-Feb-12
Summit Bank,Prescott,AZ,57442,The Foothills Bank,15-Jul-11,10-Feb-12
First Peoples Bank,Port St. Lucie,FL,34870,"Premier American Bank, N.A.",15-Jul-11,10-Feb-12
High Trust Bank,Stockbridge,GA,19554,Ameris Bank,15-Jul-11,10-Feb-12
One Georgia Bank,Atlanta,GA,58238,Ameris Bank,15-Jul-11,10-Feb-12
Signature Bank,Windsor,CO,57835,Points West Community Bank,8-Jul-11,10-Feb-12
Colorado Capital Bank,Castle Rock,CO,34522,First-Citizens Bank & Trust Company,8-Jul-11,10-Feb-12
First Chicago Bank & Trust,Chicago,IL,27935,Northbrook Bank & Trust Company,8-Jul-11,10-Feb-12
Mountain Heritage Bank,Clayton,GA,57593,First American Bank and Trust Company,24-Jun-11,14-Sep-11
First Commercial Bank of Tampa Bay,Tampa,FL,27583,Stonegate Bank,17-Jun-11,14-Sep-11
McIntosh State Bank,Jackson,GA,19237,Hamilton State Bank,17-Jun-11,14-Sep-11
Atlantic Bank and Trust,Charleston,SC,58420,"First Citizens Bank and Trust Company, Inc.",3-Jun-11,2-Nov-11
First Heritage Bank,Snohomish,WA,23626,Columbia State Bank,27-May-11,15-Dec-11
Summit Bank,Burlington,WA,513,Columbia State Bank,20-May-11,15-Dec-11
First Georgia Banking Company,Franklin,GA,57647,"CertusBank, National Association",20-May-11,14-Sep-11
Atlantic Southern Bank,Macon,GA,57213,"CertusBank, National Association",20-May-11,14-Sep-11
Coastal Bank,Cocoa Beach,FL,34898,"Florida Community Bank, a division of Premier American Bank, N.A.",6-May-11,14-Sep-11
Community Central Bank,Mount Clemens,MI,34234,Talmer Bank & Trust,29-Apr-11,14-Sep-11
The Park Avenue Bank,Valdosta,GA,19797,Bank of the Ozarks,29-Apr-11,14-Sep-11
First Choice Community Bank,Dallas,GA,58539,Bank of the Ozarks,29-Apr-11,14-Sep-11
Cortez Community Bank,Brooksville,FL,57625,"Florida Community Bank, a division of Premier American Bank, N.A.",29-Apr-11,14-Sep-11
First National Bank of Central Florida,Winter Park,FL,26297,"Florida Community Bank, a division of Premier American Bank, N.A.",29-Apr-11,14-Sep-11
Heritage Banking Group,Carthage,MS,14273,Trustmark National Bank,15-Apr-11,23-Nov-11
Rosemount National Bank,Rosemount,MN,24099,Central Bank,15-Apr-11,14-Sep-11
Superior Bank,Birmingham,AL,17750,"Superior Bank, National Association",15-Apr-11,14-Sep-11
Nexity Bank,Birmingham,AL,19794,AloStar Bank of Commerce,15-Apr-11,14-Sep-11
New Horizons Bank,East Ellijay,GA,57705,Citizens South Bank,15-Apr-11,14-Sep-11
Bartow County Bank,Cartersville,GA,21495,Hamilton State Bank,15-Apr-11,14-Sep-11
Nevada Commerce Bank,Las Vegas,NV,35418,City National Bank,8-Apr-11,15-Dec-11
Western Springs National Bank and Trust,Western Springs,IL,10086,Heartland Bank and Trust Company,8-Apr-11,14-Sep-11
The Bank of Commerce,Wood Dale,IL,34292,Advantage National Bank Group,25-Mar-11,19-May-11
Legacy Bank,Milwaukee,WI,34818,Seaway Bank and Trust Company,11-Mar-11,20-May-11
First National Bank of Davis,Davis,OK,4077,The Pauls Valley National Bank,11-Mar-11,27-Apr-11
Valley Community Bank,St. Charles,IL,34187,First State Bank,25-Feb-11,27-Apr-11
"San Luis Trust Bank, FSB ",San Luis Obispo,CA,34783,First California Bank,18-Feb-11,15-Dec-11
Charter Oak Bank,Napa,CA,57855,Bank of Marin,18-Feb-11,15-Dec-11
Citizens Bank of Effingham,Springfield,GA,34601,Heritage Bank of the South,18-Feb-11,27-Apr-11
Habersham Bank,Clarkesville,GA,151,SCBT National Association,18-Feb-11,20-May-11
Canyon National Bank,Palm Springs,CA,34692,Pacific Premier Bank,11-Feb-11,15-Dec-11
Badger State Bank,Cassville,WI,13272,Royal Bank,11-Feb-11,26-Oct-11
Peoples State Bank,Hamtramck,MI,14939,First Michigan Bank,11-Feb-11,27-Apr-11
Sunshine State Community Bank,Port Orange,FL,35478,"Premier American Bank, N.A.",11-Feb-11,27-Apr-11
Community First Bank Chicago,Chicago,IL,57948,Northbrook Bank & Trust Company,4-Feb-11,22-Dec-11
North Georgia Bank,Watkinsville,GA,35242,BankSouth,4-Feb-11,26-Oct-11
American Trust Bank,Roswell,GA,57432,Renasant Bank,4-Feb-11,26-Oct-11
First Community Bank,Taos,NM,12261,"U.S. Bank, N.A.",28-Jan-11,15-Dec-11
FirsTier Bank,Louisville,CO,57646,No Acquirer,28-Jan-11,15-Dec-11
Evergreen State Bank,Stoughton,WI,5328,McFarland State Bank,28-Jan-11,27-Apr-11
The First State Bank,Camargo,OK,2303,Bank 7,28-Jan-11,27-Apr-11
United Western Bank,Denver,CO,31293,First-Citizens Bank & Trust Company,21-Jan-11,15-Dec-11
The Bank of Asheville,Asheville,NC,34516,First Bank,21-Jan-11,6-Feb-12
CommunitySouth Bank & Trust,Easley,SC,57868,"CertusBank, National Association",21-Jan-11,27-Apr-11
Enterprise Banking Company,McDonough,GA,19758,No Acquirer,21-Jan-11,27-Apr-11
Oglethorpe Bank,Brunswick,GA,57440,Bank of the Ozarks,14-Jan-11,26-Oct-11
Legacy Bank,Scottsdale,AZ,57820,Enterprise Bank & Trust,7-Jan-11,15-Dec-11
First Commercial Bank of Florida,Orlando,FL,34965,First Southern Bank,7-Jan-11,22-Dec-11
Community National Bank,Lino Lakes,MN,23306,Farmers & Merchants Savings Bank,17-Dec-10,22-Dec-11
First Southern Bank ,Batesville,AR,58052,Southern Bank,17-Dec-10,22-Dec-11
"United Americas Bank, N.A.",Atlanta,GA,35065,State Bank and Trust Company,17-Dec-10,8-Mar-11
"Appalachian Community Bank, FSB ",McCaysville,GA,58495,Peoples Bank of East Tennessee,17-Dec-10,27-Dec-11
Chestatee State Bank,Dawsonville,GA,34578,Bank of the Ozarks,17-Dec-10,22-Dec-11
"The Bank of Miami,N.A.",Coral Gables,FL,19040,1st United Bank,17-Dec-10,8-Mar-11
Earthstar Bank,Southampton,PA,35561,Polonia Bank,10-Dec-10,8-Mar-11
Paramount Bank,Farmington Hills,MI,34673,Level One Bank,10-Dec-10,8-Mar-11
First Banking Center,Burlington,WI,5287,First Michigan Bank,19-Nov-10,22-Dec-11
Allegiance Bank of North America,Bala Cynwyd,PA,35078,VIST Bank,19-Nov-10,27-Dec-11
Gulf State Community Bank,Carrabelle,FL,20340,Centennial Bank,19-Nov-10,8-Mar-11
Copper Star Bank,Scottsdale,AZ,35463,"Stearns Bank, N.A.",12-Nov-10,22-Dec-11
Darby Bank & Trust Co.,Vidalia,GA,14580,Ameris Bank,12-Nov-10,27-Dec-11
Tifton Banking Company,Tifton,GA,57831,Ameris Bank,12-Nov-10,23-Nov-11
First Vietnamese American Bank,Westminster,CA,57885,Grandpoint Bank,5-Nov-10,8-Mar-11
Pierce Commercial Bank,Tacoma,WA,34411,Heritage Bank,5-Nov-10,15-Dec-11
Western Commercial Bank,Woodland Hills,CA,58087,First California Bank,5-Nov-10,15-Dec-11
K Bank,Randallstown,MD,31263,Manufacturers and Traders Trust Company (M&T Bank),5-Nov-10,21-Dec-11
"First Arizona Savings, A FSB",Scottsdale,AZ,32582,No Acquirer,22-Oct-10,15-Dec-11
Hillcrest Bank,Overland Park,KS,22173,"Hillcrest Bank, N.A.",22-Oct-10,8-Mar-11
First Suburban National Bank,Maywood,IL,16089,Seaway Bank and Trust Company,22-Oct-10,28-Oct-11
The First National Bank of Barnesville,Barnesville,GA,2119,United Bank,22-Oct-10,14-Jul-11
The Gordon Bank,Gordon,GA,33904,Morris Bank,22-Oct-10,3-Aug-11
Progress Bank of Florida,Tampa,FL,32251,Bay Cities Bank,22-Oct-10,5-Aug-11
First Bank of Jacksonville,Jacksonville,FL,27573,Ameris Bank,22-Oct-10,22-Dec-11
Premier Bank,Jefferson City,MO,34016,Providence Bank,15-Oct-10,5-Aug-11
WestBridge Bank and Trust Company,Chesterfield,MO,58205,Midland States Bank,15-Oct-10,27-Dec-11
"Security Savings Bank, F.S.B.",Olathe,KS,30898,Simmons First National Bank,15-Oct-10,25-Jul-11
Shoreline Bank,Shoreline,WA,35250,GBC International Bank,1-Oct-10,15-Dec-11
Wakulla Bank,Crawfordville,FL,21777,Centennial Bank,1-Oct-10,20-May-11
North County Bank,Arlington,WA,35053,Whidbey Island Bank,24-Sep-10,15-Dec-11
Haven Trust Bank Florida,Ponte Vedra Beach,FL,58308,First Southern Bank,24-Sep-10,8-Mar-11
Maritime Savings Bank,West Allis,WI,28612,"North Shore Bank, FSB",17-Sep-10,21-Dec-11
Bramble Savings Bank,Milford,OH,27808,Foundation Bank,17-Sep-10,22-Dec-11
The Peoples Bank,Winder,GA,182,Community & Southern Bank,17-Sep-10,8-Mar-11
First Commerce Community Bank,Douglasville,GA,57448,Community & Southern Bank,17-Sep-10,22-Dec-11
Bank of Ellijay,Ellijay,GA,58197,Community & Southern Bank,17-Sep-10,27-Dec-11
ISN Bank,Cherry Hill,NJ,57107,Customers Bank,17-Sep-10,21-Dec-11
Horizon Bank,Bradenton,FL,35061,Bank of the Ozarks,10-Sep-10,21-Dec-11
Sonoma Valley Bank,Sonoma,CA,27259,Westamerica Bank,20-Aug-10,15-Dec-11
Los Padres Bank,Solvang,CA,32165,Pacific Western Bank,20-Aug-10,15-Dec-11
Butte Community Bank,Chico,CA,33219,"Rabobank, N.A.",20-Aug-10,15-Dec-11
Pacific State Bank,Stockton,CA,27090,"Rabobank, N.A.",20-Aug-10,15-Dec-11
ShoreBank,Chicago,IL,15640,Urban Partnership Bank,20-Aug-10,15-Jun-11
Imperial Savings and Loan Association,Martinsville,VA,31623,"River Community Bank, N.A.",20-Aug-10,21-Dec-11
Independent National Bank,Ocala,FL,27344,"CenterState Bank of Florida, N.A.",20-Aug-10,21-Dec-11
Community National Bank at Bartow,Bartow,FL,25266,"CenterState Bank of Florida, N.A.",20-Aug-10,22-Dec-11
Palos Bank and Trust Company,Palos Heights,IL,17599,First Midwest Bank,13-Aug-10,20-Dec-11
Ravenswood Bank,Chicago,IL,34231,Northbrook Bank & Trust Company,6-Aug-10,28-Sep-11
LibertyBank,Eugene,OR,31964,Home Federal Bank,30-Jul-10,15-Dec-11
The Cowlitz Bank,Longview,WA,22643,Heritage Bank,30-Jul-10,15-Dec-11
Coastal Community Bank,Panama City Beach,FL,9619,Centennial Bank,30-Jul-10,29-Sep-11
Bayside Savings Bank,Port Saint Joe,FL,57669,Centennial Bank,30-Jul-10,22-Dec-11
Northwest Bank & Trust,Acworth,GA,57658,State Bank and Trust Company,30-Jul-10,29-Sep-11
Home Valley Bank ,Cave Junction,OR,23181,South Valley Bank & Trust,23-Jul-10,15-Dec-11
SouthwestUSA Bank ,Las Vegas,NV,35434,Plaza Bank,23-Jul-10,15-Dec-11
Community Security Bank ,New Prague,MN,34486,Roundbank,23-Jul-10,19-Sep-11
Thunder Bank ,Sylvan Grove,KS,10506,The Bennington State Bank,23-Jul-10,28-Sep-11
Williamsburg First National Bank ,Kingstree,SC,17837,"First Citizens Bank and Trust Company, Inc.",23-Jul-10,27-Dec-11
Crescent Bank and Trust Company ,Jasper,GA,27559,Renasant Bank,23-Jul-10,22-Dec-11
Sterling Bank ,Lantana,FL,32536,IBERIABANK,23-Jul-10,14-Sep-11
"Mainstreet Savings Bank, FSB",Hastings,MI,28136,Commercial Bank,16-Jul-10,14-Sep-11
Olde Cypress Community Bank,Clewiston,FL,28864,"CenterState Bank of Florida, N.A.",16-Jul-10,20-Dec-11
Turnberry Bank,Aventura,FL,32280,NAFH National Bank,16-Jul-10,14-Sep-11
Metro Bank of Dade County,Miami,FL,25172,NAFH National Bank,16-Jul-10,21-Dec-11
First National Bank of the South,Spartanburg,SC,35383,NAFH National Bank,16-Jul-10,11-Aug-11
Woodlands Bank,Bluffton,SC,32571,Bank of the Ozarks,16-Jul-10,7-Mar-11
Home National Bank,Blackwell,OK,11636,RCB Bank,9-Jul-10,16-Mar-11
USA Bank,Port Chester,NY,58072,New Century Bank,9-Jul-10,14-Sep-11
Ideal Federal Savings Bank,Baltimore,MD,32456,No Acquirer,9-Jul-10,7-Mar-11
Bay National Bank,Baltimore,MD,35462,"Bay Bank, FSB",9-Jul-10,22-Dec-11
High Desert State Bank,Albuquerque,NM,35279,First American Bank,25-Jun-10,15-Dec-11
First National Bank,Savannah,GA,34152,"The Savannah Bank, N.A.",25-Jun-10,14-Sep-10
Peninsula Bank,Englewood,FL,26563,"Premier American Bank, N.A.",25-Jun-10,14-Sep-11
Nevada Security Bank,Reno,NV,57110,Umpqua Bank,18-Jun-10,15-Dec-11
Washington First International Bank,Seattle,WA,32955,East West Bank,11-Jun-10,15-Dec-11
TierOne Bank,Lincoln,NE,29341,Great Western Bank,4-Jun-10,9-Aug-11
Arcola Homestead Savings Bank,Arcola,IL,31813,No Acquirer,4-Jun-10,15-Dec-11
First National Bank,Rosedale,MS,15814,The Jefferson Bank,4-Jun-10,14-Sep-11
Sun West Bank,Las Vegas,NV,34785,City National Bank,28-May-10,14-Sep-11
"Granite Community Bank, NA",Granite Bay,CA,57315,Tri Counties Bank,28-May-10,15-Dec-11
Bank of Florida - Tampa,Tampa,FL,57814,EverBank,28-May-10,14-Sep-11
Bank of Florida - Southwest,Naples,FL,35106,EverBank,28-May-10,14-Sep-11
Bank of Florida - Southeast,Fort Lauderdale,FL,57360,EverBank,28-May-10,14-Sep-11
Pinehurst Bank,Saint Paul,MN,57735,Coulee Bank,21-May-10,15-Dec-11
Midwest Bank and Trust Company,Elmwood Park,IL,18117,"FirstMerit Bank, N.A.",14-May-10,15-Dec-11
Southwest Community Bank,Springfield,MO,34255,Simmons First National Bank,14-May-10,14-Sep-11
New Liberty Bank,Plymouth,MI,35586,Bank of Ann Arbor,14-May-10,14-Sep-11
Satilla Community Bank,Saint Marys,GA,35114,Ameris Bank,14-May-10,9-Aug-11
1st Pacific Bank of California,San Diego,CA,35517,City National Bank,7-May-10,14-Sep-11
Towne Bank of Arizona,Mesa,AZ,57697,Commerce Bank of Arizona,7-May-10,15-Dec-11
Access Bank,Champlin,MN,16476,PrinsBank,7-May-10,27-Dec-11
The Bank of Bonifay,Bonifay,FL,14246,First Federal Bank of Florida,7-May-10,26-Aug-10
Frontier Bank,Everett,WA,22710,"Union Bank, N.A.",30-Apr-10,15-Dec-11
BC National Banks,Butler,MO,17792,Community First Bank,30-Apr-10,14-Sep-11
Champion Bank,Creve Coeur,MO,58362,BankLiberty,30-Apr-10,14-Sep-11
CF Bancorp,Port Huron,MI,30005,First Michigan Bank,30-Apr-10,15-Dec-11
Westernbank Puerto Rico,Mayaguez,PR,31027,Banco Popular de Puerto Rico,30-Apr-10,9-Aug-11
R-G Premier Bank of Puerto Rico,Hato Rey,PR,32185,Scotiabank de Puerto Rico,30-Apr-10,14-Sep-11
Eurobank,San Juan,PR,27150,Oriental Bank and Trust,30-Apr-10,18-Aug-11
Wheatland Bank,Naperville,IL,58429,Wheaton Bank & Trust,23-Apr-10,15-Dec-11
Peotone Bank and Trust Company,Peotone,IL,10888,First Midwest Bank,23-Apr-10,15-Dec-11
Lincoln Park Savings Bank,Chicago,IL,30600,Northbrook Bank & Trust Company,23-Apr-10,15-Dec-11
New Century Bank,Chicago,IL,34821,"MB Financial Bank, N.A.",23-Apr-10,15-Dec-11
Citizens Bank and Trust Company of Chicago,Chicago,IL,34658,Republic Bank of Chicago,23-Apr-10,15-Dec-11
Broadway Bank,Chicago,IL,22853,"MB Financial Bank, N.A.",23-Apr-10,15-Dec-11
"Amcore Bank, National Association",Rockford,IL,3735,Harris N.A.,23-Apr-10,15-Dec-11
City Bank,Lynnwood,WA,21521,Whidbey Island Bank,16-Apr-10,15-Dec-11
Tamalpais Bank,San Rafael,CA,33493,"Union Bank, N.A.",16-Apr-10,15-Dec-11
Innovative Bank,Oakland,CA,23876,Center Bank,16-Apr-10,15-Dec-11
Butler Bank,Lowell,MA,26619,People's United Bank,16-Apr-10,14-Sep-11
Riverside National Bank of Florida,Fort Pierce,FL,24067,"TD Bank, N.A.",16-Apr-10,14-Sep-11
AmericanFirst Bank,Clermont,FL,57724,"TD Bank, N.A.",16-Apr-10,14-Sep-11
First Federal Bank of North Florida,Palatka,FL,28886,"TD Bank, N.A.",16-Apr-10,22-Dec-11
Lakeside Community Bank,Sterling Heights,MI,34878,No Acquirer,16-Apr-10,15-Dec-11
Beach First National Bank,Myrtle Beach,SC,34242,Bank of North Carolina,9-Apr-10,22-Dec-11
Desert Hills Bank,Phoenix,AZ,57060,New York Community Bank,26-Mar-10,15-Dec-11
Unity National Bank,Cartersville,GA,34678,Bank of the Ozarks,26-Mar-10,14-Sep-11
Key West Bank,Key West,FL,34684,Centennial Bank,26-Mar-10,14-Sep-11
McIntosh Commercial Bank,Carrollton,GA,57399,CharterBank,26-Mar-10,14-Sep-11
